,Unnamed: 0_x,label,onset,duration,amp,avg_vel,med_vel,peak_vel,start_x,start_y,end_x,end_y,ind_id_fn,ID,Gender,DoB,ROI1,ROI2,ROI3,Version,Valid,Valid Freeviewing
26515,7,SACC,3.936999797821045,0.15,338.142,138260.705,145789.957,158570.634,220.2,478.8,214.9,816.9,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26516,8,FIXA,4.086999893188477,0.567,346.01,54717.697,54778.302,91703.306,214.9,816.9,337.4,1140.5,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26517,9,SACC,4.65399980545044,0.318,630.231,121239.986,119778.666,153428.498,337.4,1140.5,914.4,887.0,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26518,10,FIXA,4.971999883651733,0.383,257.138,39885.104,32241.359,90240.814,914.4,887.0,1157.5,803.2,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26519,11,SACC,5.355000019073486,0.066,120.976,119688.648,115955.013,150665.486,1157.5,803.2,1261.5,741.4,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26520,12,FIXA,5.421000003814697,0.535,96.796,36123.642,34749.757,88461.977,1261.5,741.4,1347.2,786.4,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26521,13,SACC,5.955999851226807,0.066,113.279,102879.142,102804.734,105765.443,1347.2,786.4,1453.7,747.8,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26522,14,FIXA,6.021999835968018,1.368,323.282,37053.194,33535.618,95035.384,1453.7,747.8,1575.4,448.3,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26523,15,SACC,7.389999866485596,0.167,381.383,138186.934,139868.586,166288.048,1575.4,448.3,1220.8,307.9,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26524,16,FIXA,7.556999921798706,0.868,332.21,32636.623,26018.793,87135.406,1220.8,307.9,896.8,234.5,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26525,17,SACC,8.424999952316284,0.117,267.642,132032.515,126497.094,195856.039,896.8,234.5,665.7,99.5,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26526,18,FIXA,8.541999816894531,0.734,169.26,23880.584,17321.713,94386.542,665.7,99.5,500.4,135.9,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26527,19,SACC,9.276000022888184,0.133,297.098,133171.555,132073.503,157645.593,500.4,135.9,767.4,5.6,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26528,20,FIXA,9.408999919891356,0.15,187.373,75612.77,72134.056,101332.186,767.4,5.6,944.6,-55.3,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26529,21,SACC,9.559000015258787,0.1,211.026,126568.646,127639.917,136711.05,944.6,-55.3,1155.6,-58.6,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26530,22,FIXA,9.658999919891356,0.334,262.317,49723.449,42584.978,105861.853,1155.6,-58.6,1417.9,-61.6,20210711131101810,202107111311018,MALE,1996,Pierce,Man,Octopus,2,True,True
26531,0,FIXA,0.2839999198913574,1.135,65.847,9200.849,5540.165,43059.287,944.4,367.8,940.0,302.1,20210711131742327,202107111317423,FEMALE,1992,Turtle,Elephant,Man,2,True,True
26532,1,SACC,1.4189999103546145,0.383,673.026,105811.874,112480.916,155434.191,940.0,302.1,812.3,962.9,20210711131742327,202107111317423,FEMALE,1992,Turtle,Elephant,Man,2,True,True
26533,2,FIXA,1.8020000457763672,0.618,107.256,11729.813,7596.457,43475.103,812.3,962.9,791.4,1068.1,20210711131742327,202107111317423,FEMALE,1992,Turtle,Elephant,Man,2,True,True
